championship_title,team_1,team_2,score,match_time
كأس مصر,المقاولون العرب,الترسانة,0 - 1,17:00
كأس مصر,المقاولون العرب,الترسانة,0 - 1,17:00
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,المقاولون العرب,الترسانة,0 - 1,17:00
كأس مصر,المقاولون العرب,الترسانة,0 - 1,17:00
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,طلائع الجيش,بورفؤاد,1 - 0,20:00
كأس مصر,طلائع الجيش,بورفؤاد,1 - 0,20:00
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,طلائع الجيش,بورفؤاد,1 - 0,20:00
كأس مصر,طلائع الجيش,بورفؤاد,1 - 0,20:00
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
كأس مصر,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,أوليمبياكوس,فيورنتينا,1 - 0,22:00
دوري المؤتمر الأوروبي,أوليمبياكوس,فيورنتينا,1 - 0,22:00
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,أوليمبياكوس,فيورنتينا,1 - 0,22:00
دوري المؤتمر الأوروبي,أوليمبياكوس,فيورنتينا,1 - 0,22:00
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
دوري المؤتمر الأوروبي,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,ريفرز هوبرز,الأهلي بنغازي,83 - 89,18:00
الدوري الأفريقي لكرة السلة,ريفرز هوبرز,الأهلي بنغازي,83 - 89,18:00
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,ريفرز هوبرز,الأهلي بنغازي,83 - 89,18:00
الدوري الأفريقي لكرة السلة,ريفرز هوبرز,الأهلي بنغازي,83 - 89,18:00
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,بترو دي لواندا,كيب تاون تايجرز,96 - 86,21:00
الدوري الأفريقي لكرة السلة,بترو دي لواندا,كيب تاون تايجرز,96 - 86,21:00
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,بترو دي لواندا,كيب تاون تايجرز,96 - 86,21:00
الدوري الأفريقي لكرة السلة,بترو دي لواندا,كيب تاون تايجرز,96 - 86,21:00
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الأفريقي لكرة السلة,N/A,N/A,N/A,N/A
الدوري الإماراتي,نادي الامارات,البطائح,1 - 3,17:15
الدوري الإماراتي,نادي الامارات,البطائح,1 - 3,17:15
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,نادي الامارات,البطائح,1 - 3,17:15
الدوري الإماراتي,نادي الامارات,البطائح,1 - 3,17:15
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,عجمان,بني ياس,1 - 1,17:15
الدوري الإماراتي,عجمان,بني ياس,1 - 1,17:15
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,عجمان,بني ياس,1 - 1,17:15
الدوري الإماراتي,عجمان,بني ياس,1 - 1,17:15
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,حتا,شباب الأهلي,2 - 5,20:00
الدوري الإماراتي,حتا,شباب الأهلي,2 - 5,20:00
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,حتا,شباب الأهلي,2 - 5,20:00
الدوري الإماراتي,حتا,شباب الأهلي,2 - 5,20:00
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,العين,الوصل,2 - 4,20:00
الدوري الإماراتي,العين,الوصل,2 - 4,20:00
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,العين,الوصل,2 - 4,20:00
الدوري الإماراتي,العين,الوصل,2 - 4,20:00
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
الدوري الإماراتي,N/A,N/A,N/A,N/A
